,latitude,longitude,time,date,speed,course,lat_dir,long_dir
1,30.63219203,-86.28929207,13:30:02,2023-03-16,0.020213314547594615,357.3932016355687,N,W
2,30.63219204,-86.28929208,13:30:02.100000,2023-03-16,0.027382960121214068,358.4877772157045,N,W
3,30.63219203,-86.28929207,13:30:02.200000,2023-03-16,0.015403387744259377,357.32092265034663,N,W
4,30.63219203,-86.28929205,13:30:02.300000,2023-03-16,0.03327902986867255,2.79738624577823,N,W
5,30.63219204,-86.28929207,13:30:02.400000,2023-03-16,0.03639948303204319,358.8370426857147,N,W
6,30.63219203,-86.28929207,13:30:02.500000,2023-03-16,0.012163641066720113,357.9349616260982,N,W
7,30.63219203,-86.28929208,13:30:02.600000,2023-03-16,0.016261655297047716,358.6582379835492,N,W
8,30.63219204,-86.28929207,13:30:02.700000,2023-03-16,0.031201657712371628,1.2634987382710894,N,W
9,30.63219203,-86.28929205,13:30:02.800000,2023-03-16,0.017402417561936615,1.2973825709738767,N,W
10,30.63219203,-86.28929206,13:30:02.900000,2023-03-16,0.031177742910608524,357.3860154275715,N,W
11,30.63219203,-86.28929205,13:30:03,2023-03-16,0.00940920028482761,0.9782248530489858,N,W
12,30.63219202,-86.28929208,13:30:03.100000,2023-03-16,0.03084131847051938,358.18376103502465,N,W
13,30.63219203,-86.28929204,13:30:03.200000,2023-03-16,0.01572571985633726,1.38428820294201,N,W
14,30.63219202,-86.28929206,13:30:03.300000,2023-03-16,0.042428090789004405,357.7259613076212,N,W
15,30.63219202,-86.28929207,13:30:03.400000,2023-03-16,0.02056067946348077,2.815627906539254,N,W
16,30.63219203,-86.28929206,13:30:03.500000,2023-03-16,0.026259639982299833,0.6929049725468924,N,W
17,30.63219205,-86.28929208,13:30:03.600000,2023-03-16,0.017982659425123972,359.06414087169,N,W
18,30.63219202,-86.28929208,13:30:03.700000,2023-03-16,0.03545292621209144,357.7883708945714,N,W
19,30.63219203,-86.28929205,13:30:03.800000,2023-03-16,0.011444709257993407,0.7089579785079605,N,W
20,30.63219203,-86.28929206,13:30:03.900000,2023-03-16,0.014570229510889661,357.5209072398484,N,W
21,30.63219203,-86.28929207,13:30:04,2023-03-16,0.025098768276550946,359.488385359828,N,W
22,30.63219204,-86.28929206,13:30:04.100000,2023-03-16,0.025383277349467697,0.8094412347694759,N,W
23,30.63219203,-86.28929206,13:30:04.200000,2023-03-16,0.01602796761913375,2.869660588475975,N,W
24,30.63219202,-86.28929208,13:30:04.300000,2023-03-16,0.016746823012141736,2.9498767881432495,N,W
25,30.63219204,-86.28929206,13:30:04.400000,2023-03-16,0.0372264525438565,0.9054864153894275,N,W
26,30.63219203,-86.28929208,13:30:04.500000,2023-03-16,0.03773222304609152,358.7588993485615,N,W
27,30.63219201,-86.28929207,13:30:04.600000,2023-03-16,0.023075472866227464,2.9980040924600235,N,W
28,30.63219203,-86.28929207,13:30:04.700000,2023-03-16,0.010889630159009074,0.8269028774586729,N,W
29,30.632192,-86.28929207,13:30:04.800000,2023-03-16,0.05945307016462648,2.832522810158979,N,W
30,30.63219202,-86.28929207,13:30:04.900000,2023-03-16,0.032703182261058325,0.9827004341276554,N,W
31,30.63219203,-86.28929207,13:30:05,2023-03-16,0.02004087073956618,358.11247090735117,N,W
32,30.63219203,-86.28929208,13:30:05.100000,2023-03-16,0.00722607279232641,1.9735075670375193,N,W
33,30.63219202,-86.28929206,13:30:05.200000,2023-03-16,0.02723185386638229,2.881508296010025,N,W
34,30.63219203,-86.28929207,13:30:05.300000,2023-03-16,0.015553589746421886,359.29096228274676,N,W
35,30.63219201,-86.28929207,13:30:05.400000,2023-03-16,0.030217778674151416,2.872211750734377,N,W
36,30.63219202,-86.28929208,13:30:05.500000,2023-03-16,0.003809194140497436,359.93853098174674,N,W
37,30.63219203,-86.28929208,13:30:05.600000,2023-03-16,0.009969482433907991,357.63203133410883,N,W
38,30.63219201,-86.28929206,13:30:05.700000,2023-03-16,0.025119555131411068,2.2427332998184086,N,W
39,30.63219201,-86.28929206,13:30:05.800000,2023-03-16,0.024709640729885168,1.8827564472319618,N,W
40,30.63219203,-86.2892921,13:30:05.900000,2023-03-16,0.022462121760866673,358.5212662083965,N,W
41,30.63219202,-86.28929207,13:30:06,2023-03-16,0.026720673363521363,1.7700487788730837,N,W
42,30.63219201,-86.28929208,13:30:06.100000,2023-03-16,0.03388813577050234,358.76806906806644,N,W
43,30.63219202,-86.28929205,13:30:06.200000,2023-03-16,0.027497689575671627,1.3647422953935802,N,W
44,30.63219201,-86.28929208,13:30:06.300000,2023-03-16,0.020634637990524573,2.056725577932077,N,W
45,30.632192,-86.28929206,13:30:06.400000,2023-03-16,0.02889620571978266,3.000238845786496,N,W
46,30.63219202,-86.28929206,13:30:06.500000,2023-03-16,0.00816820225018945,359.1032180659026,N,W
47,30.63219202,-86.28929206,13:30:06.600000,2023-03-16,0.005363001491702198,1.9648415954302771,N,W
48,30.63219202,-86.28929205,13:30:06.700000,2023-03-16,0.01262340306731905,2.526804071614534,N,W
49,30.63219203,-86.28929206,13:30:06.800000,2023-03-16,0.024853004023658788,1.2008925561771997,N,W
50,30.63219202,-86.28929206,13:30:06.900000,2023-03-16,0.024198817202499796,0.12333498946730809,N,W
51,30.63219201,-86.28929206,13:30:07,2023-03-16,0.014929470452765563,3.0670400583641144,N,W
52,30.63219202,-86.28929206,13:30:07.100000,2023-03-16,0.010368793034871513,1.2494422468048796,N,W
53,30.63219203,-86.28929205,13:30:07.200000,2023-03-16,0.024690214620371367,2.702019532942591,N,W
