,latitude,longitude,time,date,speed,course,lat_dir,long_dir
1,30.63220103,-86.28927882,13:45:00,2023-03-16,0.02904297266121359,0.2695829643277448,N,W
2,30.63220101,-86.28927881,13:45:00.100000,2023-03-16,0.012071605195664742,357.22580718505395,N,W
3,30.63220103,-86.28927882,13:45:00.200000,2023-03-16,0.02903088510534944,359.2241499461051,N,W
4,30.63220104,-86.2892788,13:45:00.300000,2023-03-16,0.021468347304811335,0.10940210362552238,N,W
5,30.63220101,-86.28927881,13:45:00.400000,2023-03-16,0.027551161155203605,357.1009123359319,N,W
6,30.63220101,-86.28927881,13:45:00.500000,2023-03-16,0.0062943390439346375,0.8722338218854935,N,W
7,30.63220103,-86.2892788,13:45:00.600000,2023-03-16,0.011641525028964204,1.1290472339721864,N,W
8,30.63220101,-86.2892788,13:45:00.700000,2023-03-16,0.02504569314273414,2.048925583451141,N,W
9,30.63220102,-86.28927883,13:45:00.800000,2023-03-16,0.019052600137514038,357.59323550696945,N,W
10,30.63220102,-86.28927881,13:45:00.900000,2023-03-16,0.0021765782779399412,358.71709596948955,N,W
11,30.63220103,-86.28927882,13:45:01,2023-03-16,0.021223389573769784,359.1154536703378,N,W
12,30.632201,-86.28927883,13:45:01.100000,2023-03-16,0.05209238692937769,357.92754966636244,N,W
13,30.63220102,-86.28927881,13:45:01.200000,2023-03-16,0.03854007292416557,1.772206825761409,N,W
14,30.63220101,-86.28927879,13:45:01.300000,2023-03-16,0.016442567013699533,1.8057002470860442,N,W
15,30.63220103,-86.28927882,13:45:01.400000,2023-03-16,0.033442198163398294,359.9661141635675,N,W
16,30.63220102,-86.2892788,13:45:01.500000,2023-03-16,0.010048775646813893,2.343668755438173,N,W
17,30.632201,-86.2892788,13:45:01.600000,2023-03-16,0.029822432630488078,2.6976809027168307,N,W
18,30.63220101,-86.28927882,13:45:01.700000,2023-03-16,0.014089726753915422,358.7774410718529,N,W
19,30.632201,-86.28927883,13:45:01.800000,2023-03-16,0.02372309667813205,358.8227042618444,N,W
20,30.63220103,-86.28927881,13:45:01.900000,2023-03-16,0.008383619325804339,0.44476280315520106,N,W
21,30.632201,-86.28927881,13:45:02,2023-03-16,0.02429397003373471,357.5372496824896,N,W
22,30.63220101,-86.28927879,13:45:02.100000,2023-03-16,0.032655087230016706,1.1539618568682808,N,W
23,30.63220103,-86.28927879,13:45:02.200000,2023-03-16,0.03670681741856681,0.8052988132510165,N,W
24,30.63220102,-86.28927881,13:45:02.300000,2023-03-16,0.02034493069538454,358.32906060960624,N,W
25,30.63220101,-86.2892788,13:45:02.400000,2023-03-16,0.02624319435587063,1.0336181791595291,N,W
26,30.632201,-86.28927881,13:45:02.500000,2023-03-16,0.01125353779928783,358.39783061339347,N,W
27,30.63220102,-86.2892788,13:45:02.600000,2023-03-16,0.02837516054580132,0.8813374514026164,N,W
28,30.63220101,-86.28927883,13:45:02.700000,2023-03-16,0.006352177579381734,357.55508063591384,N,W
29,30.63220102,-86.28927883,13:45:02.800000,2023-03-16,0.03232626463110144,358.62269828761146,N,W
30,30.63220101,-86.28927884,13:45:02.900000,2023-03-16,0.020811562411313572,358.42185192444094,N,W
31,30.63220101,-86.28927881,13:45:03,2023-03-16,0.012672620289427124,0.7476139321875366,N,W
32,30.63220101,-86.28927883,13:45:03.100000,2023-03-16,0.00896830870342898,359.19638762210064,N,W
33,30.632201,-86.28927883,13:45:03.200000,2023-03-16,0.03460394897984911,357.87070850761626,N,W
34,30.63220104,-86.28927883,13:45:03.300000,2023-03-16,0.03331243372976523,359.3886666038679,N,W
35,30.63220101,-86.28927882,13:45:03.400000,2023-03-16,0.03560262452404317,2.46734739493036,N,W
36,30.63220102,-86.28927882,13:45:03.500000,2023-03-16,0.025551775867833533,0.5193160130337525,N,W
37,30.63220102,-86.28927881,13:45:03.600000,2023-03-16,0.03649241078635392,0.5743521969218565,N,W
38,30.63220102,-86.28927882,13:45:03.700000,2023-03-16,0.015701511041934787,359.29859950483234,N,W
39,30.63220103,-86.28927881,13:45:03.800000,2023-03-16,0.016557675803082993,0.7625913539147583,N,W
40,30.63220103,-86.28927882,13:45:03.900000,2023-03-16,0.014211354685602636,358.76470625362,N,W
41,30.63220102,-86.28927879,13:45:04,2023-03-16,0.045697873440675545,1.4516689712805988,N,W
42,30.63220101,-86.2892788,13:45:04.100000,2023-03-16,0.020377418899360147,1.013585899447163,N,W
43,30.63220102,-86.28927882,13:45:04.200000,2023-03-16,0.03527826380365111,358.766022967818,N,W
44,30.632201,-86.28927882,13:45:04.300000,2023-03-16,0.0319405372058768,2.6452318404996036,N,W
45,30.63220101,-86.28927884,13:45:04.400000,2023-03-16,0.03478188241024341,358.669803250188,N,W
46,30.632201,-86.28927882,13:45:04.500000,2023-03-16,0.016071370445609173,0.611612922805996,N,W
47,30.63220101,-86.28927881,13:45:04.600000,2023-03-16,0.021128499047495065,358.8985238993715,N,W
48,30.63220101,-86.28927883,13:45:04.700000,2023-03-16,0.03579051184322459,359.59089647650256,N,W
49,30.63220103,-86.28927882,13:45:04.800000,2023-03-16,0.05485351661470758,0.18887558824166287,N,W
50,30.63220104,-86.28927883,13:45:04.900000,2023-03-16,0.03565680434363124,359.7517836053561,N,W
