latitude,longitude,date,time,speed,course,lat_dir,long_dir
30.63219203,-86.28929207,2023-03-16,13:30:02,0.0202133145475946,210.64145567648055,N,W
30.63219204,-86.28929208,2023-03-16,13:30:02.100000,0.027382960121214,273.3560167763477,N,W
30.63219203,-86.28929207,2023-03-16,13:30:02.200000,0.0154033877442593,206.5001748757676,N,W
30.63219203,-86.28929205,2023-03-16,13:30:02.300000,0.0332790298686725,160.2784255510386,N,W
30.63219204,-86.28929207,2023-03-16,13:30:02.400000,0.0363994830320431,293.36745413758337,N,W
30.63219203,-86.28929207,2023-03-16,13:30:02.500000,0.0121636410667201,241.6820166428688,N,W
30.63219203,-86.28929208,2023-03-16,13:30:02.600000,0.0162616552970477,283.12269934640807,N,W
30.63219204,-86.28929207,2023-03-16,13:30:02.700000,0.0312016577123716,72.39314512303805,N,W
30.63219203,-86.28929205,2023-03-16,13:30:02.800000,0.0174024175619366,74.33454573063511,N,W
30.63219203,-86.28929206,2023-03-16,13:30:02.900000,0.0311777429106085,210.22971628753783,N,W
30.63219203,-86.28929205,2023-03-16,13:30:03,0.0094092002848276,56.048155494512045,N,W
30.63219202,-86.28929208,2023-03-16,13:30:03.100000,0.0308413184705193,255.9371727197027,N,W
30.63219203,-86.28929204,2023-03-16,13:30:03.200000,0.0157257198563372,79.31387165832636,N,W
30.63219202,-86.28929206,2023-03-16,13:30:03.300000,0.0424280907890044,229.70718047724623,N,W
30.63219202,-86.28929207,2023-03-16,13:30:03.400000,0.0205606794634807,161.32359572395467,N,W
30.63219203,-86.28929206,2023-03-16,13:30:03.500000,0.0262596399822998,39.70053053056511,N,W
30.63219205,-86.28929208,2023-03-16,13:30:03.600000,0.0179826594251239,306.3792217290424,N,W
30.63219202,-86.28929208,2023-03-16,13:30:03.700000,0.0354529262120914,233.28298641064973,N,W
30.63219203,-86.28929205,2023-03-16,13:30:03.800000,0.0114447092579934,40.62030002063266,N,W
30.63219203,-86.28929206,2023-03-16,13:30:03.900000,0.0145702295108896,217.9584478218744,N,W
30.63219203,-86.28929207,2023-03-16,13:30:04,0.0250987682765509,330.6866403810395,N,W
30.63219204,-86.28929206,2023-03-16,13:30:04.100000,0.0253832773494676,46.377566516149,N,W
30.63219203,-86.28929206,2023-03-16,13:30:04.200000,0.0160279676191337,164.41944035470155,N,W
30.63219202,-86.28929208,2023-03-16,13:30:04.300000,0.0167468230121417,169.01549004421508,N,W
30.63219204,-86.28929206,2023-03-16,13:30:04.400000,0.0372264525438565,51.88055000824392,N,W
30.63219203,-86.28929208,2023-03-16,13:30:04.500000,0.0377322230460915,288.89017072163625,N,W
30.63219201,-86.28929207,2023-03-16,13:30:04.600000,0.0230754728662274,171.77298146090797,N,W
30.63219203,-86.28929207,2023-03-16,13:30:04.700000,0.010889630159009,47.37804494560545,N,W
30.632192,-86.28929207,2023-03-16,13:30:04.800000,0.0594530701646264,162.2916023966452,N,W
30.63219202,-86.28929207,2023-03-16,13:30:04.900000,0.0327031822610583,56.30458740118842,N,W
30.63219203,-86.28929207,2023-03-16,13:30:05,0.0200408707395661,251.85254928306475,N,W
30.63219203,-86.28929208,2023-03-16,13:30:05.100000,0.0072260727923264,113.07365442838125,N,W
30.63219202,-86.28929206,2023-03-16,13:30:05.200000,0.0272318538663822,165.09826399330794,N,W
30.63219203,-86.28929207,2023-03-16,13:30:05.300000,0.0155535897464218,319.3751312857994,N,W
30.63219201,-86.28929207,2023-03-16,13:30:05.400000,0.0302177786741514,164.56561118496103,N,W
30.63219202,-86.28929208,2023-03-16,13:30:05.500000,0.0038091941404974,356.47808468327537,N,W
30.63219203,-86.28929208,2023-03-16,13:30:05.600000,0.0099694824339079,224.3253894252121,N,W
30.63219201,-86.28929206,2023-03-16,13:30:05.700000,0.025119555131411,128.4991526530431,N,W
30.63219201,-86.28929206,2023-03-16,13:30:05.800000,0.0247096407298851,107.8739982774367,N,W
30.63219203,-86.2892921,2023-03-16,13:30:05.900000,0.0224621217608666,275.2747947177422,N,W
30.63219202,-86.28929207,2023-03-16,13:30:06,0.0267206733635213,101.4163245617128,N,W
30.63219201,-86.28929208,2023-03-16,13:30:06.100000,0.0338881357705023,289.4155569485881,N,W
30.63219202,-86.28929205,2023-03-16,13:30:06.200000,0.0274976895756716,78.19397364904843,N,W
30.63219201,-86.28929208,2023-03-16,13:30:06.300000,0.0206346379905245,117.8416952321131,N,W
30.632192,-86.28929206,2023-03-16,13:30:06.400000,0.0288962057197826,171.90102339476766,N,W
30.63219202,-86.28929206,2023-03-16,13:30:06.500000,0.0081682022501894,308.61818003263784,N,W
30.63219202,-86.28929206,2023-03-16,13:30:06.600000,0.0053630014917021,112.57713082990604,N,W
30.63219202,-86.28929205,2023-03-16,13:30:06.700000,0.012623403067319,144.77520895998504,N,W
30.63219203,-86.28929206,2023-03-16,13:30:06.800000,0.0248530040236587,68.80607511763066,N,W
30.63219202,-86.28929206,2023-03-16,13:30:06.900000,0.0241988172024997,7.066574362767215,N,W
30.63219201,-86.28929206,2023-03-16,13:30:07,0.0149294704527655,175.72845094182145,N,W
30.63219202,-86.28929206,2023-03-16,13:30:07.100000,0.0103687930348715,71.58776748726257,N,W
30.63219203,-86.28929205,2023-03-16,13:30:07.200000,0.0246902146203713,154.81431539952035,N,W
30.63219202,-86.28929204,2023-03-16,13:30:07.300000,0.0218580032939882,112.65132021773948,N,W
30.63219201,-86.28929206,2023-03-16,13:30:07.400000,0.0163108088395395,176.59414066877736,N,W
