location,node-id,date,time,sampling_rate,mode,sequence-number,producer,data-file,up-time-seconds,hw-config,sw-mode,status,sensor-time-seconds,sensor-time,sample-rate-nominal,sample-rate-actual,lat,lon,alt-above-geoid-meters,geoidal-separation-meters,gps-fix-time-seconds,gps-fix-time,num-satellites
bprf,131,2023-04-10,15:30:00,1605,seismic,20,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-20-2023_04_10_15_30_00-1605Hz.wav,5961,575,8000,3,1681140599,2023-04-10T15:29:59.562,1600,1605.309,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-10,15:35:00,1605,seismic,21,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-21-2023_04_10_15_35_00-1605Hz.wav,6262,575,8000,3,1681140899,2023-04-10T15:34:59.999,1600,1605.362,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-10,15:35:00,9866,acoustic,21,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-21-2023_04_10_15_35_00-9866Hz.wav,6261,575,8000,3,1681140899,2023-04-10T15:34:59.690,9868,9866.126,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-10,15:30:00,9866,acoustic,20,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-20-2023_04_10_15_30_00-9866Hz.wav,5962,575,8000,3,1681140599,2023-04-10T15:29:59.948,9868,9866.126,38.40938500,-77.10352916,3.0,0.0,1681139427,2023-04-10T15:10:27.000,10
bprf,131,2023-04-12,14:10:00,1605,seismic,14,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-14-2023_04_12_14_10_00-1605Hz.wav,4087,575,8000,2,1681308599,2023-04-12T14:09:59.677,1600,1605.173,38.41095999,-77.10431166,5.0,0.0,1681305606,2023-04-12T13:20:06.000,9
bprf,131,2023-04-12,14:40:00,9866,acoustic,20,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-20-2023_04_12_14_40_00-9866Hz.wav,5886,575,8000,2,1681310399,2023-04-12T14:39:59.592,9868,9866.126,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:40:00,1605,seismic,20,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-20-2023_04_12_14_40_00-1605Hz.wav,5887,575,8000,2,1681310399,2023-04-12T14:39:59.944,1600,1605.147,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:25:00,1605,seismic,17,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-17-2023_04_12_14_25_00-1605Hz.wav,4987,575,8000,2,1681309499,2023-04-12T14:24:59.801,1600,1605.147,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:35:00,9866,acoustic,19,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-19-2023_04_12_14_35_00-9866Hz.wav,5587,575,8000,2,1681310099,2023-04-12T14:34:59.851,9868,9866.126,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:30:00,9866,acoustic,18,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-18-2023_04_12_14_30_00-9866Hz.wav,5287,575,8000,2,1681309799,2023-04-12T14:29:59.695,9868,9866.440,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:50:00,1605,seismic,22,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-22-2023_04_12_14_50_00-1605Hz.wav,6487,575,8000,2,1681310999,2023-04-12T14:49:59.616,1600,1605.147,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:10:00,9865,acoustic,14,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-14-2023_04_12_14_10_00-9865Hz.wav,4087,575,8000,2,1681308599,2023-04-12T14:09:59.913,9868,9865.970,38.41095999,-77.10431166,5.0,0.0,1681305606,2023-04-12T13:20:06.000,9
bprf,131,2023-04-12,14:45:00,1605,seismic,21,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch2-21-2023_04_12_14_45_00-1605Hz.wav,6187,575,8000,2,1681310699,2023-04-12T14:44:59.779,1600,1605.147,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
bprf,131,2023-04-12,14:45:00,9866,acoustic,21,"Sensor version 80 UPDATE 2, compiled at Mar  1 2023 10:38:56",Node131-Ch1-21-2023_04_12_14_45_00-9866Hz.wav,6187,575,8000,2,1681310699,2023-04-12T14:44:59.748,9868,9866.126,38.41095166,-77.10432333,2.5,0.0,1681309303,2023-04-12T14:21:43.000,11
